Keyword,Keyword_Length_Score,Search_Volume_Scaled,Ranking Difficulty Score,Ranking Difficulty Scaled,Total Monthly Clicks Scaled,Broad CPC Score,Is Question Score,NSFW Score,Is_Good_Keyword,Label_Notes,Business_Keyword_Similarity
marketing and sales funnel hubspot prospect definition,3,0.3540331334706706,100,1.0,0.3712607321280216,1,0,1,0,words don’t make sense,0.4262647
womanpreneur sales funnel,1,0.3540331334706706,100,1.0,0.3712607321280216,1,0,1,0,words don’t work,0.31520352
sales funnel 2018,1,0.0,100,1.0,0.3712607321280216,1,0,1,0,not good because of date involved. No search volume,0.33158916
social media sales funnels i use to create bestsellers,3,0.3540331334706706,100,1.0,0.3712607321280216,1,0,1,0,doesn’t align,0.42330128
sales funnel reports,1,0.0,75,0.75,0.3712607321280216,1,0,1,0,bad length doesn’t align,0.3378541
sales funnel google most touchpoints,3,0.3540331334706706,100,1.0,0.3712607321280216,1,0,1,0,doesn’t align,0.42566857
sales funnel pictures,1,0.3540331334706706,64,0.64,0.3712607321280216,1,0,1,0,not trying to rank for images,0.4169661
web developer sales funnel,2,0.3540331334706706,100,1.0,0.3712607321280216,1,0,1,0,not our niche/audience,0.4351095
inbound marketing sales funnel at saas qualifiying leads,3,0.3540331334706706,100,1.0,0.3712607321280216,1,0,1,0,not our audience,0.506575
contact sales funnel,1,0.3540331334706706,100,1.0,0.3712607321280216,1,0,1,0,no,0.39131293
stages of sales and marketing funnel crm web analytics,3,0.3540331334706706,100,1.0,0.3712607321280216,1,0,1,0,no,0.46228248
how to know a good sales funnel course,3,0.0,82,0.82,0.3712607321280216,1,1,1,0,no,0.501612
set up goals sales funnel ga,3,0.3540331334706706,100,1.0,0.3712607321280216,1,0,1,0,,0.3948671
mind map sales funnel,2,0.3540331334706706,100,1.0,0.3712607321280216,1,0,1,0,,0.42947823
cheaper sales funnels,1,0.3540331334706706,100,1.0,0.3712607321280216,1,0,1,0,,0.4889232
sales funnel guides to buying decison,3,0.3540331334706706,100,1.0,0.3712607321280216,1,0,1,0,,0.39744467
ideal sales funnel,1,0.3540331334706706,100,1.0,0.3712607321280216,1,0,1,1,,0.49500328
after hurican hugoÃ¯Â¿Â¼ sales funnel,3,0.3540331334706706,100,1.0,0.3712607321280216,1,0,1,0,,0.3818322
web design sample sales funnel,3,0.3540331334706706,100,1.0,0.3712607321280216,1,0,1,0,,0.495011
independent sales funnel builder,2,0.3540331334706706,100,1.0,0.3712607321280216,1,0,1,0,,0.3658483
sample sales funnels for makeup artists,3,0.3540331334706706,100,1.0,0.3712607321280216,1,0,1,0,,0.41984117
website sales funnel stages,2,0.0,100,1.0,0.3712607321280216,1,0,1,0,,0.46749932
summer sales recruiting funnel,2,0.0,76,0.76,0.3712607321280216,1,0,1,0,,0.3925917
personal trainer sales funnels,2,0.3540331334706706,100,1.0,0.3712607321280216,1,0,1,0,,0.3821096
sales funnel lead page convertkit,3,0.3540331334706706,100,1.0,0.3712607321280216,1,0,1,0,,0.21058317
sales funnel philosophy,1,0.3540331334706706,100,1.0,0.3712607321280216,1,0,1,1,,0.520621
sales funnel broker login,2,0.3540331334706706,100,1.0,0.3712607321280216,1,0,1,0,,0.24397221
benefit of sales funnel setup,3,0.3540331334706706,100,1.0,0.3712607321280216,1,0,1,1,,0.4258733
sales funnels do you want fries with that,3,0.3540331334706706,100,1.0,0.3712607321280216,1,0,1,0,,0.33541974
e learning sales funnels content uploads 2017 sales letters,3,0.3540331334706706,100,1.0,0.3712607321280216,1,0,1,0,,0.43810666
